File,Referenced Files,Count
00_COMPLETE_TEMPLATE_MANIFEST.md,,0
00_DPDP_Compliance_Journey.html,01_Applicability_Test.html; 02A_Data_Retention_Schedule.html; 02_Entity_Classification.html; 03A_Employee_Data_Protection_Policy.html; 03_Data_Inventory_Asset_Register.html; 04_Data_Flow_Diagram.html; 05_Records_Processing_Activities_ROPA.html; 07_Privacy_Notice_Web.html; 08_Consent_Form.html; 09_Retrospective_Notice_Reconsent.html; 10_Data_Subject_Access_Request_(DSAR)_Form.html; 15_Data_Processing_Agreement_(DPA).html; 18_Data_Protection_Policy.html; 20_Incident_Response_Plan.html; 21_Breach_Notification_Template_-_DPB.html; 24_Security_Hardening_Plan.html; 25A_Third_Party_Inventory.html; 25_Compliance_Audit_Plan.html; 26_DPIA_Workbook_(SDF).html; 28_Audit_Findings_Report.html; 33A_Processor_Deletion_Confirmation.html; 36_Annual_SDF_Audit_Report.html; 37_Board_Risk_Committee_Report.html; 38_Compliance_Tracking_Dashboard.html; 39_Privacy_Committee_Charter.html; 41_Compliance_Certificate_Opinion_Letter.html; 45_Ongoing_Obligations_Calendar.html; 47_Compliance_Status_Report_Board_Pack.html; DPDP_Visual_Roadmap.html; INDEX_DPDP_Compliance_Navigator.html; INDEX_TEMPLATE_APPLICATION_MAP.html; UNIFIED_THEME.css,32
01_Applicability_Test.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
02A_Data_Retention_Schedule.html,02_Entity_Classification.html; 29_Deletion_Log.html; 33A_Processor_Deletion_Confirmation.html; 43_Statutory_Hold_Register.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,6
02_Entity_Classification.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
03A_Employee_Data_Protection_Policy.html,02A_Data_Retention_Schedule.html; 18_Data_Protection_Policy.html; 19_Employee_Data_Protection_Training.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,5
03_Data_Inventory_Asset_Register.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
04_Data_Flow_Diagram.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
05_Records_Processing_Activities_ROPA.html,04_Data_Flow_Diagram.html; 06_Section_7_Legitimate_Uses_Legal_Memo.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,4
06A_Section_9_Childrens_Data_Protection_Policy.html,06_Section_7_Legitimate_Uses_Legal_Memo.html; 07_Privacy_Notice_Web.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,4
06_Section_7_Legitimate_Uses_Legal_Memo.html,05_Records_Processing_Activities_ROPA.html; 06A_Section_9_Childrens_Data_Protection_Policy.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,4
07_Privacy_Notice_Web.html,06A_Section_9_Childrens_Data_Protection_Policy.html; 08_Consent_Form.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,4
08_Consent_Form.html,#; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,3
09_Retrospective_Notice_Reconsent.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
10_Data_Subject_Access_Request_(DSAR)_Form.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
11_DSAR_Response_Letter.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
12_Erasure_and_Correction_SOP.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
13_Grievance_Handling_SOP.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
14_Nominee_Registration_Form.html,13_Grievance_Handling_SOP.html; 15_Data_Processing_Agreement_(DPA).html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,4
15_Data_Processing_Agreement_(DPA).html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
16_Vendor_Risk_Assessment.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
17_Sub-Processor_Register.html,16_Vendor_Risk_Assessment.html; 18_Data_Protection_Policy.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,4
18_Data_Protection_Policy.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
19_Employee_Data_Protection_Training.html,UNIFIED_THEME.css,1
20_Incident_Response_Plan.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
21_Breach_Notification_Template_-_DPB.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
22_Breach_Notification_-_Data_Principal.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
23_Post-Breach_Review.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
24_Security_Hardening_Plan.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
25A_Third_Party_Inventory.html,15_Data_Processing_Agreement_(DPA).html; 16_Vendor_Risk_Assessment.html; 17_Sub-Processor_Register.html; 44_Cross_Border_Transfer_Register.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,6
25_Compliance_Audit_Plan.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
26_DPIA_Workbook_(SDF).html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
27_DPO_Appointment_Letter_(SDF).html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
28_Audit_Findings_Report.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
29_Deletion_Log.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
30_Breach_Register.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
31_Consent_Registry_Dashboard.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
32_Data_Discovery_Report.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
33A_Processor_Deletion_Confirmation.html,02A_Data_Retention_Schedule.html; 15_Data_Processing_Agreement_(DPA).html; 29_Deletion_Log.html; 43_Statutory_Hold_Register.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,6
33_Encryption_Implementation_Checklist.html,32_Data_Discovery_Report.html; 34_Access_Control_Policy.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,4
34_Access_Control_Policy.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
35_Audit_Logging_Configuration.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
36_Annual_SDF_Audit_Report.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
37_Board_Risk_Committee_Report.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
38_Compliance_Tracking_Dashboard.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
39_Privacy_Committee_Charter.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
40_Board_Resolution_Compliance.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
41_Compliance_Certificate_Opinion_Letter.html,UNIFIED_THEME.css,1
42_Consent_Audit_Worksheet.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
43_Statutory_Hold_Register.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
44_Cross_Border_Transfer_Register.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
45_Ongoing_Obligations_Calendar.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
46_DPIA_Register.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
47_Compliance_Status_Report_Board_Pack.html,46_DPIA_Register.html; 48_Consent_Manager_Integration_Spec.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,4
48_Consent_Manager_Integration_Spec.html,47_Compliance_Status_Report_Board_Pack.html; INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,3
48_Consent_Manager_Integration_Spec.md,,0
DEMO_Unified_Design_System.html,UNIFIED_THEME.css,1
DESIGN_GUIDE.md,,0
DPDP_Penalty_Exposure_Violations_Framework.html,INDEX_DPDP_Compliance_Navigator.html; UNIFIED_THEME.css,2
DPDP_Visual_Roadmap.html,INDEX_DPDP_Compliance_Navigator.html?tab=phases; UNIFIED_THEME.css,2
